_id,approver,approval,skills,status
66153f52f18a366646f01d82,Christopher Obrien,Sarah Mejia,ADF,pending
66153f52f18a366646f01d83,Sarah Mejia,Christopher Obrien,Angular,deny
66153f52f18a366646f01d84,Sarah Mejia,Christopher Obrien,React,pending
66153f52f18a366646f01d85,Christopher Obrien,Sarah Mejia,Angular,deny
66153f52f18a366646f01d86,Christopher Obrien,Sarah Mejia,Snowflake,deny
66153f52f18a366646f01d87,Christopher Obrien,Sarah Mejia,PHP,approved
66153f52f18a366646f01d88,Sarah Mejia,Christopher Obrien,AWS,deny
66153f52f18a366646f01d89,Sarah Mejia,Christopher Obrien,Presenting,deny
6615416cf18a366646f02185,Molly Lam,Rachel Lee,Alteryx,pending
6615416cf18a366646f02186,Jay Hart,Sarah Bennett,ADF,deny
6615416cf18a366646f02187,Matthew Rodriguez,William Hill,React Native,approved
6615416cf18a366646f02188,Brandon Davis,Jessica Soto,Slides,deny
6615416cf18a366646f02189,Shannon Smith,Anthony Cook,AWS,approved
6615416cf18a366646f0218a,Benjamin Cruz,Brandy Parker,React,pending
6615416cf18a366646f0218b,Cindy Stevens,Angela Leon,Project Mgmt,pending
6615416cf18a366646f0218c,Julie Graham,Barry Deleon,Snowflake,pending
6615416cf18a366646f0218d,Jonathan Wright,Amber Williams,PHP,approved
6615416cf18a366646f0218e,Pam Gonzalez,April Brown,ADF,pending
6615416cf18a366646f0218f,Zachary Herrera,Michael Hays,React Native,pending
6615416cf18a366646f02190,Christopher Obrien,Timothy Coleman,Angular,pending
6615416cf18a366646f02191,Carrie Wallace,Jamie Hunt,Presenting,pending
6615416cf18a366646f02192,Alan Watson,Kelsey Allen,Power BI,deny
6615416cf18a366646f02193,Alison Brown,Joe Castillo,React,deny
6615416cf18a366646f02194,Katrina Peters,Desiree Martin,Presenting,approved
6615416cf18a366646f02195,Crystal Solis,Travis Arnold,Alteryx,deny
6615416cf18a366646f02196,Stacey Browning,Danielle Flores,Project Mgmt,deny
6615416cf18a366646f02197,Zachary Sanders,Dana Rivera,Alteryx,approved
6615416cf18a366646f02198,Lori Rodriguez,Martin Thompson,PHP,approved
6615416cf18a366646f02199,Austin Watson,Lisa Jenkins,Presenting,approved
6615416cf18a366646f0219a,Sara Parker,Brian Smith,Snowflake,approved
6615416cf18a366646f0219b,Jamie Garner,Ryan Gonzalez,Project Mgmt,approved
6615416cf18a366646f0219c,Tara Foster,James Howell,Power BI,approved
6615416cf18a366646f0219d,Lauren Moss,Jill Ferguson,Python,deny
6615416cf18a366646f0219e,Mrs. Lisa Suarez,Philip Deleon,Snowflake,approved
6615416cf18a366646f0219f,Emily Mills,Robert Burke,Alteryx,pending
