_id,approver,approval,skills,status
6613cd5a9d949ae738fc894c,Mr. William Lowery MD,Teresa Garrison,Slides,pending
6613cd5a9d949ae738fc894d,Michael Burnett,Sarah Vazquez,Angular,deny
6613cd5a9d949ae738fc894a,Zachary Peterson,Eric Coleman,ADF,approved
6613cd5a9d949ae738fc894b,Jon Wu,Thomas Le,React,pending
6613cd5a9d949ae738fc894f,Eddie Sanchez,Thomas Farley,Snowflake,deny
6613cd5a9d949ae738fc8950,Barry Taylor,Sandra Williams,Python,pending
6613cd5a9d949ae738fc894e,John Duran,Donald Meyer,AWS Lambda,approved
6613cd5a9d949ae738fc8951,Erica Kennedy,Jessica Fowler,ADF,pending
6613cd5a9d949ae738fc8953,Cynthia Hernandez,Maria Graham,Presenting,pending
6613cd5a9d949ae738fc8955,Jason Rice,Hannah Ramirez,AWS,deny
6613cd5a9d949ae738fc8952,Thomas Greer,Stephanie Webster,Project Mgmt,deny
6613cd5a9d949ae738fc8954,David Christensen,Diane Graves,Slides,deny
6613cd5a9d949ae738fc8956,Todd Day,Steven Davis,Angular,deny
6613cd5a9d949ae738fc8959,Alexandra Savage,Jessica Daugherty,PHP,approved
6613cd5a9d949ae738fc8957,Robert Christensen,Laura Thomas,PHP,pending
6613cd5a9d949ae738fc8958,Kathryn Henry,Jonathan Lee,AWS Lambda,approved
6613cd5a9d949ae738fc895d,Jose Hernandez,Linda Morris,Snowflake,approved
6613cd5a9d949ae738fc895a,Leslie Chandler,James Thomas,Slides,approved
6613cd5a9d949ae738fc895c,Margaret Crawford,Justin Maddox,Presenting,pending
6613cd5a9d949ae738fc895b,Debra Goodwin,Phillip Roman,React,approved
6613cd5a9d949ae738fc895e,Paul Frost,Isaac Allen,Slides,approved
6613cd5a9d949ae738fc8961,Anthony Morris,Paula Henderson,Presenting,deny
6613cd5a9d949ae738fc8960,Sharon Burch,Jesus Lane,Python,approved
6613cd5a9d949ae738fc895f,Robert Howard,Steven Walker,AWS,deny
6613cd5a9d949ae738fc8962,Kerri Cunningham,Michael Robinson,Slides,approved
6613cd5a9d949ae738fc8964,Thomas Lucero,Deborah Johnson,Angular,deny
6613cd5a9d949ae738fc8965,Sandra Warren,Clifford Williams,AWS Lambda,pending
6613cd5a9d949ae738fc8963,Rebecca Martinez,Katherine Johnson PhD,AWS,pending
6613cd5a9d949ae738fc8967,Dr. Emily Parsons,Amy Guerra,Power BI,pending
6613cd5a9d949ae738fc8968,Rebecca Martinez,Robert Edwards,Alteryx,deny
6613cd5a9d949ae738fc8966,Donna Powell,Brian Weber,React Native,pending
6613cd5a9d949ae738fc8969,Destiny Haney,Ivan Smith,AWS Lambda,approved
6613cd5a9d949ae738fc896b,Sara Hernandez,Maurice Carter,Project Mgmt,deny
6613cd5a9d949ae738fc896d,Loretta Huynh DVM,Alexander Powell PhD,AWS Lambda,pending
