_ID,NAME,EMAIL,DESIGNATION,APPROVER,APPROVAL,STATUS,SKILLS,ORGANIZATION,DURATIONINWEEKS,PROJECTNAME,YEARS,SKILLSGAINED,MENTOR,CLIENT,SKILLMODE
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,Flores Group,48,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,Flores Group,48,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,Flores Group,48,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,Flores Group,48,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,Duran-Walker,42,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,Duran-Walker,42,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,Duran-Walker,42,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,Duran-Walker,42,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,"Chavez, Smith and Copeland",11,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,"Chavez, Smith and Copeland",11,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,"Chavez, Smith and Copeland",11,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,"Chavez, Smith and Copeland",11,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Jamie Hopkins,approved,Project Mgmt,Bell Ltd,43,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
6615414ff18a366646f01e10,Michael Martinez,fyoung@example.org,Technology Solution Consultant,Michael Martinez,Ryan Sanford,pending,Alteryx,Bell Ltd,43,Snowflake Data Warehouse Migration and Integration,4,Power BI,Chad Houston,Cooper PLC,youtube
